tumorA,tumorB,distance
AML,AML,15.7808429055712
AML,BLCA,158.083409284286
AML,BRCA,51.8511583998553
AML,COAD,156.590615996868
AML,GBM,59.3651343288697
AML,HNSC,114.395599860095
AML,KIRC,67.9530285936783
AML,LUAD,168.348253397695
AML,LUSC,177.320443916625
AML,OV,49.5564880290269
AML,READ,87.0025386972467
AML,SKCM,219.900114231307
AML,STAD,185.532547758062
AML,THCA,22.6916228631244
AML,UCEC,188.48682560277
BLCA,AML,158.083409284286
BLCA,BLCA,15.9535311946543
BLCA,BRCA,74.8055429473552
BLCA,COAD,28.9830551832962
BLCA,GBM,53.9068636739494
BLCA,HNSC,25.5466581882129
BLCA,KIRC,66.9108093829859
BLCA,LUAD,25.3576257147926
BLCA,LUSC,12.8563732433817
BLCA,OV,53.6598042869044
BLCA,READ,39.3784117872769
BLCA,SKCM,19.3407083445155
BLCA,STAD,25.2988553483363
BLCA,THCA,152.461216223735
BLCA,UCEC,27.3707397845182
BRCA,AML,51.8511583998552
BRCA,BLCA,74.8055429473551
BRCA,BRCA,50.6248693245082
BRCA,COAD,62.79967584679
BRCA,GBM,61.0777401620144
BRCA,HNSC,63.8830874702896
BRCA,KIRC,73.2525530508025
BRCA,LUAD,78.2498850058557
BRCA,LUSC,73.7285678759646
BRCA,OV,49.1515532815304
BRCA,READ,58.0495566609014
BRCA,SKCM,81.2064759973108
BRCA,STAD,65.8747805434006
BRCA,THCA,54.9763328112534
BRCA,UCEC,58.9012499777386
COAD,AML,156.590615996867
COAD,BLCA,28.9830551832963
COAD,BRCA,62.7996758467978
COAD,COAD,11.8345098998339
COAD,GBM,49.0260946992784
COAD,HNSC,28.9359367711229
COAD,KIRC,67.6946305245396
COAD,LUAD,26.1375834195545
COAD,LUSC,18.8592785053778
COAD,OV,46.9708992481206
COAD,READ,15.1585498944489
COAD,SKCM,25.4355744938578
COAD,STAD,26.7772402093147
COAD,THCA,117.26801916324
COAD,UCEC,28.9848093228245
GBM,AML,59.3651343288698
GBM,BLCA,53.9068636739496
GBM,BRCA,61.0777401620145
GBM,COAD,49.0260946992797
GBM,GBM,44.5698888518059
GBM,HNSC,48.5928410703
GBM,KIRC,69.7117403512264
GBM,LUAD,39.6387528749626
GBM,LUSC,35.1004912479542
GBM,OV,53.2643028539535
GBM,READ,54.6457784313136
GBM,SKCM,35.5709559199633
GBM,STAD,41.5525704028024
GBM,THCA,61.4739748217323
GBM,UCEC,39.607937585602
HNSC,AML,114.395599860094
HNSC,BLCA,25.5466581882129
HNSC,BRCA,63.8830874702956
HNSC,COAD,28.9359367711228
HNSC,GBM,48.5928410702994
HNSC,HNSC,0.983813454379765
HNSC,KIRC,38.2696069931243
HNSC,LUAD,27.0642451493705
HNSC,LUSC,14.0159448228938
HNSC,OV,36.697076141364
HNSC,READ,33.6269380764361
HNSC,SKCM,6.20761920664444
HNSC,STAD,27.1062906473921
HNSC,THCA,114.730566501367
HNSC,UCEC,26.0376508385631
KIRC,AML,67.9530285936783
KIRC,BLCA,66.9108093829864
KIRC,BRCA,73.252553050806
KIRC,COAD,67.6946305245384
KIRC,GBM,69.7117403512246
KIRC,HNSC,38.2696069931275
KIRC,KIRC,40.4596823308509
KIRC,LUAD,64.1899785963546
KIRC,LUSC,59.8241254193187
KIRC,OV,74.3660621687653
KIRC,READ,72.7173311534377
KIRC,SKCM,41.0396708811315
KIRC,STAD,63.7141409522264
KIRC,THCA,68.8522641667728
KIRC,UCEC,60.9188178215018
LUAD,AML,168.3482533977
LUAD,BLCA,25.3576257147925
LUAD,BRCA,78.2498850058631
LUAD,COAD,26.1375834195557
LUAD,GBM,39.6387528749616
LUAD,HNSC,27.0642451493711
LUAD,KIRC,64.189978596358
LUAD,LUAD,16.2408079985292
LUAD,LUSC,15.3206278615852
LUAD,OV,49.1572478197677
LUAD,READ,34.2181268140351
LUAD,SKCM,21.4724875341389
LUAD,STAD,17.5255972355448
LUAD,THCA,147.392135378451
LUAD,UCEC,24.1341253314167
LUSC,AML,177.320443916626
LUSC,BLCA,12.8563732433817
LUSC,BRCA,73.728567875966
LUSC,COAD,18.8592785053776
LUSC,GBM,35.1004912479543
LUSC,HNSC,14.0159448228937
LUSC,KIRC,59.8241254193174
LUSC,LUAD,15.3206278615852
LUSC,LUSC,7.7631305440286
LUSC,OV,32.0750998239463
LUSC,READ,26.5813679881138
LUSC,SKCM,16.3947587153547
LUSC,STAD,16.8523141015276
LUSC,THCA,161.129006148441
LUSC,UCEC,18.8061438800488
OV,AML,49.5564880290268
OV,BLCA,53.6598042869045
OV,BRCA,49.1515532815378
OV,COAD,46.9708992481208
OV,GBM,53.2643028539531
OV,HNSC,36.6970761413652
OV,KIRC,74.3660621687667
OV,LUAD,49.1572478197668
OV,LUSC,32.0750998239467
OV,OV,20.8885583993099
OV,READ,32.9387901067955
OV,SKCM,70.8340743341205
OV,STAD,50.6349032759034
OV,THCA,54.3805978069352
OV,UCEC,66.4093481822743
READ,AML,87.0025386972465
READ,BLCA,39.3784117872767
READ,BRCA,58.0495566609006
READ,COAD,15.1585498944489
READ,GBM,54.6457784313137
READ,HNSC,33.6269380764361
READ,KIRC,72.7173311534374
READ,LUAD,34.2181268140348
READ,LUSC,26.5813679881137
READ,OV,32.9387901067962
READ,READ,16.6184445046572
READ,SKCM,35.6420506720212
READ,STAD,32.6851883204133
READ,THCA,80.6646140641418
READ,UCEC,40.7660020807136
SKCM,AML,219.900114231312
SKCM,BLCA,19.3407083445153
SKCM,BRCA,81.2064759973155
SKCM,COAD,25.4355744938576
SKCM,GBM,35.5709559199634
SKCM,HNSC,6.20761920664443
SKCM,KIRC,41.0396708811292
SKCM,LUAD,21.4724875341389
SKCM,LUSC,16.3947587153548
SKCM,OV,70.8340743341202
SKCM,READ,35.6420506720208
SKCM,SKCM,6.54739693562565
SKCM,STAD,21.1889463076101
SKCM,THCA,133.308368067621
SKCM,UCEC,22.2486869366131
STAD,AML,185.532547758065
STAD,BLCA,25.298855348336
STAD,BRCA,65.8747805434054
STAD,COAD,26.7772402093146
STAD,GBM,41.5525704028022
STAD,HNSC,27.106290647392
STAD,KIRC,63.7141409522266
STAD,LUAD,17.5255972355445
STAD,LUSC,16.8523141015276
STAD,OV,50.6349032759019
STAD,READ,32.6851883204133
STAD,SKCM,21.18894630761
STAD,STAD,17.8005631798524
STAD,THCA,139.263868216835
STAD,UCEC,24.101770467588
THCA,AML,22.6916228631243
THCA,BLCA,152.461216223733
THCA,BRCA,54.976332811254
THCA,COAD,117.268019163235
THCA,GBM,61.4739748217327
THCA,HNSC,114.730566501364
THCA,KIRC,68.8522641667735
THCA,LUAD,147.392135378446
THCA,LUSC,161.129006148438
THCA,OV,54.3805978069358
THCA,READ,80.6646140641422
THCA,SKCM,133.308368067612
THCA,STAD,139.26386821683
THCA,THCA,16.5093891579689
THCA,UCEC,148.738259937736
UCEC,AML,188.48682560277
UCEC,BLCA,27.3707397845181
UCEC,BRCA,58.9012499777398
UCEC,COAD,28.9848093228248
UCEC,GBM,39.6079375856019
UCEC,HNSC,26.0376508385628
UCEC,KIRC,60.918817821502
UCEC,LUAD,24.1341253314165
UCEC,LUSC,18.8061438800489
UCEC,OV,66.4093481822721
UCEC,READ,40.7660020807134
UCEC,SKCM,22.2486869366127
UCEC,STAD,24.1017704675881
UCEC,THCA,148.738259937735
UCEC,UCEC,8.63097416771833
