source,target,distance
AML,OV,49.5564880290269
AML,THCA,22.6916228631244
BLCA,LUSC,12.8563732433817
BLCA,SKCM,19.3407083445155
BRCA,OV,49.151553281530
BRCA,AML,51.8511583998552
COAD,LUSC,18.8592785053778
COAD,READ,15.1585498944489
GBM,LUSC,35.1004912479542
GBM,SKCM,35.5709559199633
HNSC,LUSC,14.0159448228938
HNSC,SKCM,6.20761920664444
KIRC,HNSC,38.2696069931275
KIRC,SKCM,41.0396708811315
LUAD,LUSC,15.3206278615852
LUAD,STAD,17.5255972355448
LUSC,BLCA,12.8563732433817
LUSC,HNSC,14.0159448228937
OV,LUSC,32.0750998239467
OV,READ,32.9387901067955
READ,COAD,15.1585498944489
READ,LUSC,26.5813679881137
SKCM,HNSC,6.20761920664443
SKCM,LUSC,16.3947587153548
STAD,LUAD,17.5255972355445
STAD,LUSC,16.8523141015276
THCA,AML,22.6916228631243
THCA,OV,54.3805978069358
UCEC,LUSC,18.8061438800489
UCEC,SKCM,22.2486869366127
