tumorA,tumorB,distance
AML,AML,0.0
AML,BLCA,0.6971539994948679
AML,BRCA,0.17671195502517104
AML,COAD,0.6898406611818195
AML,GBM,0.21352364791537107
AML,HNSC,0.4831232069075599
AML,KIRC,0.2555965703250535
AML,LUAD,0.7474424609749613
AML,LUSC,0.7913980878036113
AML,OV,0.1654701435297413
AML,READ,0.34892195787833835
AML,SKCM,1.0
AML,STAD,0.8316299766796599
AML,THCA,0.0338565776404566
AML,UCEC,0.8461032688167532
BLCA,AML,1.0
BLCA,BLCA,0.02132631798944283
BLCA,BRCA,0.42656774794002583
BLCA,COAD,0.11104462625934403
BLCA,GBM,0.28266424454882855
BLCA,HNSC,0.08738238616435637
BLCA,KIRC,0.372206426662728
BLCA,LUAD,0.08608075198814791
BLCA,LUSC,0.0
BLCA,OV,0.28096305037878827
BLCA,READ,0.18262466319580514
BLCA,SKCM,0.044649641539936405
BLCA,STAD,0.08567607274894794
BLCA,THCA,0.9612868704490569
BLCA,UCEC,0.09994259290018435
BRCA,AML,0.08421811346298483
BRCA,BLCA,0.8003135709697226
BRCA,BRCA,0.045962239748358426
BRCA,COAD,0.4257730610138309
BRCA,GBM,0.37205476944147575
BRCA,HNSC,0.4595716645264903
BRCA,KIRC,0.7518657893193846
BRCA,LUAD,0.907764837941737
BRCA,LUSC,0.7667157650745205
BRCA,OV,0.0
BRCA,READ,0.2775861747746652
BRCA,SKCM,1.0
BRCA,STAD,0.5217054307118165
BRCA,THCA,0.18171248083700747
BRCA,UCEC,0.30415598822855683
COAD,AML,1.0
COAD,BLCA,0.11846509101293017
COAD,BRCA,0.3520761045672288
COAD,COAD,0.0
COAD,GBM,0.25692584445808586
COAD,HNSC,0.11813958894297384
COAD,KIRC,0.3858912907429375
COAD,LUAD,0.09880808420014382
COAD,LUSC,0.04852830595508731
COAD,OV,0.24272820190903746
COAD,READ,0.022963038204321582
COAD,SKCM,0.09395848617886154
COAD,STAD,0.10322694297582426
COAD,THCA,0.7283527590382389
COAD,UCEC,0.11847720890954602
GBM,AML,0.7010623340554787
GBM,BLCA,0.5433601188411723
GBM,BRCA,0.7505435252148809
GBM,COAD,0.4023432789083869
GBM,GBM,0.27359306148117163
GBM,HNSC,0.38982556746471797
GBM,KIRC,1.0
GBM,LUAD,0.13112100096321985
GBM,LUSC,0.0
GBM,OV,0.5247950327306179
GBM,READ,0.564709095734761
GBM,SKCM,0.013592825575446285
GBM,STAD,0.186415668951925
GBM,THCA,0.7619916719874958
GBM,UCEC,0.13023067512526323
HNSC,AML,0.9970551542589121
HNSC,BLCA,0.21594326058420815
HNSC,BRCA,0.5529764352036758
HNSC,COAD,0.24573996679444907
HNSC,GBM,0.4185528495591694
HNSC,HNSC,0.0
HNSC,KIRC,0.3277965527802124
HNSC,LUAD,0.22928506525559694
HNSC,LUSC,0.11457145825631296
HNSC,OV,0.31397171110661576
HNSC,READ,0.28698071591170526
HNSC,SKCM,0.045924877962070634
HNSC,STAD,0.2296547065587138
HNSC,THCA,1.0
HNSC,UCEC,0.22025980270253462
KIRC,AML,0.8223361949564709
KIRC,BLCA,0.7934630215209999
KIRC,BRCA,0.9691518429568445
KIRC,COAD,0.8151776507758142
KIRC,GBM,0.8710587564653167
KIRC,HNSC,0.0
KIRC,KIRC,0.060672864608642366
KIRC,LUAD,0.7180863460720451
KIRC,LUSC,0.5971367083363566
KIRC,OV,1.0
KIRC,READ,0.9543242956322104
